date,ticker,score
2021-01-04,BN,0.00145249
2021-01-04,ALC,0.00141159
2021-01-04,TAK,0.00120505
2021-01-04,NVDA,0.00120317
2021-01-04,MDLZ,0.00117568
2021-01-04,HSBC,0.00115492
2021-01-04,DOW18428,0.00113935
2021-01-04,IBN,0.00103524
2021-01-04,RTX,0.00103433
2021-01-04,DD16851,0.00102289
2021-01-04,ABEV,0.00099047
2021-01-04,MET,0.00098134
2021-01-04,CMG,0.00097927
2021-01-04,EW,0.00096335
2021-01-04,BSX,0.00092902
2021-01-04,KLAC,0.00091749
2021-01-04,HDB,0.00089799
2021-01-04,SHOP,0.00089614
2021-01-04,SGEN,0.00089462
2021-01-04,DXCM,0.00086825
2021-01-04,SAN,0.00086455
2021-01-04,PBR,0.00086435
2021-01-04,PLD85592,0.00085162
2021-01-04,SRE,0.00084648
2021-01-04,LFC,0.00084014
2021-01-04,CHL,0.0008251
2021-01-04,EXC,0.00081322
2021-01-04,EPD,0.00077674
2021-01-04,CSGP,0.00077041
2021-01-04,ADP,0.00074238
2021-01-04,RIO,0.00071365
2021-01-04,PUK,0.0007094
2021-01-04,BA,0.00070225
2021-01-04,BAX,0.00068191
2021-01-04,SPLK,0.00066725
2021-01-04,PHG,0.00065984
2021-01-04,AVGO,0.00065448
2021-01-04,NEE,0.00065119
2021-01-04,AMD,0.00064744
2021-01-04,WFC,0.00064207
2021-01-04,PSA,0.00063959
2021-01-04,TFC,0.00063785
2021-01-04,CSX,0.00063482
2021-01-04,AON,0.00062095
2021-01-04,LRCX,0.00061168
2021-01-04,GM12369,0.00060726
2021-01-04,MELI,0.00060369
2021-01-04,AMAT,0.00059587
2021-01-04,SMFG,0.00058734
2021-01-04,BMY,0.00058563
2021-01-04,A,0.00057871
2021-01-04,VRTX,0.00055945
2021-01-04,INTC,0.00055059
2021-01-04,EMR,0.00054977
2021-01-04,PFE,0.00053392
2021-01-04,SO,0.00052352
2021-01-04,UBS,0.00050658
2021-01-04,C,0.00049727
2021-01-04,NGG,0.00049296
2021-01-04,NOW,0.00047145
2021-01-04,MS,0.00046801
2021-01-04,VRSK,0.00046023
2021-01-04,LVS,0.00045914
2021-01-04,MU,0.00045874
2021-01-04,CL,0.0004565
2021-01-04,CMCSA,0.00043402
2021-01-04,TJX,0.00041225
2021-01-04,MRK,0.00041142
2021-01-04,MAR,0.00041026
2021-01-04,RELX,0.0004006
2021-01-04,BX,0.00039677
2021-01-04,APH,0.00037225
2021-01-04,CTAS,0.00036078
2021-01-04,BF29946,0.00035695
2021-01-04,IQV,0.00033956
2021-01-04,COF,0.00033793
2021-01-04,UBER,0.00033507
2021-01-04,INTU,0.00033421
2021-01-04,BAC,0.00032899
2021-01-04,ECL,0.0003243
2021-01-04,KMI12558,0.00031923
2021-01-04,LLY,0.00031813
2021-01-04,EQIX,0.00031308
2021-01-04,ILMN,0.00030889
2021-01-04,ISRG,0.00027471
2021-01-04,REGN,0.00025757
2021-01-04,FDX,0.00025018
2021-01-04,SCHW,0.000248
2021-01-04,ORLY,0.00023865
2021-01-04,VOD,0.00023633
2021-01-04,ATVI,0.00022856
2021-01-04,NFLX,0.00022397
2021-01-04,KO,0.00021894
2021-01-04,MMC,0.00021658
2021-01-04,ADSK,0.00020985
2021-01-04,WDAY,0.00020535
2021-01-04,DLR,0.00019894
2021-01-04,BUD93013,0.0001988
2021-01-04,MSCI,0.0001965
2021-01-04,CTSH,0.00019163
2021-01-04,BIDU,0.00018726
2021-01-04,AMX,0.00018227
2021-01-04,ROST,0.00017443
2021-01-04,WBK,0.0001644
2021-01-04,ABT,0.00014792
2021-01-04,SYK,0.00014571
2021-01-04,ALL,0.00013558
2021-01-04,ES,0.00013291
2021-01-04,USB,0.00013059
2021-01-04,PGR,0.00012949
2021-01-04,AXP,0.00012916
2021-01-04,SBUX,0.00012666
2021-01-04,SCCO,0.00012351
2021-01-04,HMC,0.00011993
2021-01-04,RACE,0.00010318
2021-01-04,ADI,0.00010209
2021-01-04,QCOM,9.123e-05
2021-01-04,IDXX,7.123e-05
2021-01-04,AAPL,6.912e-05
2021-01-04,DUK,5.569e-05
2021-01-04,GOOGL,5.432e-05
2021-01-04,D,4.215e-05
2021-01-04,UPS,2.35e-05
2021-01-04,DEO,7.27e-06
2021-01-04,TXN,-1.89e-06
2021-01-04,ICE,-5.64e-06
2021-01-04,BHP,-8.13e-06
2021-01-04,MDT,-9.38e-06
2021-01-04,PDD,-1.495e-05
2021-01-04,TMUS,-1.554e-05
2021-01-04,AMGN,-2.548e-05
2021-01-04,CME,-3.991e-05
2021-01-04,CHT,-4.45e-05
2021-01-04,NVS,-4.554e-05
2021-01-04,APD,-4.689e-05
2021-01-04,TROW,-5.998e-05
2021-01-04,EBAY,-6.123e-05
2021-01-04,ABBV,-6.19e-05
2021-01-04,GOLD71298,-7.141e-05
2021-01-04,ADBE,-7.777e-05
2021-01-04,TRI89444,-7.8e-05
2021-01-04,KMB,-8.67e-05
2021-01-04,EA,-0.00010418
2021-01-04,DG93096,-0.00010491
2021-01-04,PTR,-0.000113
2021-01-04,AMZN,-0.00011429
2021-01-04,MUFG,-0.00011688
2021-01-04,SE17023,-0.00012696
2021-01-04,BK,-0.00013114
2021-01-04,AEP,-0.00013236
2021-01-04,GE,-0.00013556
2021-01-04,ERIC,-0.00013761
2021-01-04,WEC,-0.00014439
2021-01-04,CB79057,-0.00014994
2021-01-04,TWLO,-0.00015494
2021-01-04,MCD,-0.00015582
2021-01-04,MFG,-0.00017276
2021-01-04,SNPS,-0.00017339
2021-01-04,VZ,-0.00017805
2021-01-04,HCA12622,-0.00018692
2021-01-04,LHX,-0.00018867
2021-01-04,HSY,-0.00019598
2021-01-04,PEP,-0.00020002
2021-01-04,KHC,-0.00020384
2021-01-04,DOCU,-0.00021694
2021-01-04,MSFT,-0.00023339
2021-01-04,GPN,-0.00024136
2021-01-04,HUM,-0.00024437
2021-01-04,CHTR,-0.00025058
2021-01-04,VALE,-0.00025379
2021-01-04,CEO,-0.00026221
2021-01-04,NEM,-0.00026711
2021-01-04,TEL,-0.00027885
2021-01-04,ORAN,-0.00027941
2021-01-04,CVS,-0.00028662
2021-01-04,DHR,-0.0003003
2021-01-04,ELV,-0.00032776
2021-01-04,WMT,-0.00033429
2021-01-04,CCI,-0.00035212
2021-01-04,SPOT17782,-0.00035337
2021-01-04,PM,-0.00035553
2021-01-04,NVO,-0.00035663
2021-01-04,ZTS,-0.00035877
2021-01-04,JD,-0.0003648
2021-01-04,SYY,-0.0003717
2021-01-04,DE,-0.00037345
2021-01-04,CI,-0.00037402
2021-01-04,LULU,-0.0003799
2021-01-04,JPM,-0.00038465
2021-01-04,AMT,-0.00038638
2021-01-04,BTI,-0.00042027
2021-01-04,CNC,-0.00042881
2021-01-04,WM,-0.00044172
2021-01-04,SHW,-0.00044621
2021-01-04,SBAC,-0.00044871
2021-01-04,ITW,-0.00045215
2021-01-04,MNST,-0.00046378
2021-01-04,LIN,-0.00048106
2021-01-04,BIIB,-0.0004881
2021-01-04,UNP,-0.00050007
2021-01-04,TM,-0.00050355
2021-01-04,SNY,-0.00050583
2021-01-04,AZN,-0.00051789
2021-01-04,FI,-0.00052361
2021-01-04,INFY,-0.00052495
2021-01-04,CVX,-0.0005362
2021-01-04,ACN,-0.00054553
2021-01-04,TSM,-0.00055205
2021-01-04,BDX,-0.00055357
2021-01-04,HD,-0.00055417
2021-01-04,JNJ,-0.00055943
2021-01-04,LMT,-0.000562
2021-01-04,SNP,-0.00056452
2021-01-04,WBA,-0.00056988
2021-01-04,META,-0.00057031
2021-01-04,FIS,-0.00057522
2021-01-04,PYPL,-0.00058676
2021-01-04,BABA,-0.0005879
2021-01-04,TMO,-0.00058886
2021-01-04,NOC,-0.00059169
2021-01-04,GILD,-0.00059256
2021-01-04,DELL18267,-0.00059762
2021-01-04,COP,-0.00059818
2021-01-04,PNC,-0.00060222
2021-01-04,BLK,-0.00060643
2021-01-04,SHEL,-0.00060857
2021-01-04,TGT,-0.00061743
2021-01-04,KDP,-0.00061805
2021-01-04,ABB,-0.00061979
2021-01-04,BKNG,-0.00062106
2021-01-04,ROP,-0.00063703
2021-01-04,DIS,-0.00064131
2021-01-04,CAT,-0.00065558
2021-01-04,SNAP,-0.00065776
2021-01-04,MO,-0.00066871
2021-01-04,XOM,-0.00067884
2021-01-04,SQ,-0.00069668
2021-01-04,MMM,-0.0007154
2021-01-04,T66093,-0.00072401
2021-01-04,ORCL,-0.00072521
2021-01-04,TTE,-0.00073891
2021-01-04,GIS,-0.0007478
2021-01-04,CDNS,-0.00074871
2021-01-04,PG,-0.00076982
2021-01-04,IBM,-0.00077051
2021-01-04,LOW,-0.00078695
2021-01-04,BP,-0.00079263
2021-01-04,GS,-0.00080954
2021-01-04,CSCO,-0.00083615
2021-01-04,SPGI,-0.0008492
2021-01-04,NKE,-0.00085876
2021-01-04,XEL,-0.00086017
2021-01-04,UNH,-0.00090356
2021-01-04,GD,-0.00093294
2021-01-04,VMW,-0.00094351
2021-01-04,NXPI,-0.00097711
2021-01-04,EQNR,-0.00098353
2021-01-04,MA,-0.00098456
2021-01-04,TEAM,-0.00099708
2021-01-04,NSC,-0.00100372
2021-01-04,TSLA,-0.00102263
2021-01-04,INFO,-0.00104901
2021-01-04,CRM,-0.00105587
2021-01-04,SAP,-0.0010845
2021-01-04,NTES,-0.00110304
2021-01-04,COST,-0.00111138
2021-01-04,GSK,-0.0011119
2021-01-04,STZ,-0.00113801
2021-01-04,HON,-0.00117656
2021-01-04,MCO,-0.00118624
2021-01-04,ASML,-0.0013066
2021-01-04,V92611,-0.00154409
2021-01-05,MELI,0.00122085
2021-01-05,DOCU,0.00118042
2021-01-05,MO,0.00112691
2021-01-05,TAK,0.00110464
2021-01-05,KHC,0.00108995
2021-01-05,CHL,0.00108992
2021-01-05,SPOT17782,0.00103226
2021-01-05,UPS,0.00098725
2021-01-05,SYY,0.00093281
2021-01-05,LOW,0.00091677
2021-01-05,SAN,0.0009006
2021-01-05,FIS,0.00089688
2021-01-05,SGEN,0.00089482
2021-01-05,META,0.00088597
2021-01-05,EW,0.00087794
2021-01-05,KO,0.00084747
2021-01-05,UNH,0.00083449
2021-01-05,DG93096,0.00083011
2021-01-05,NSC,0.00076399
2021-01-05,HMC,0.00075952
2021-01-05,BA,0.00075829
2021-01-05,VZ,0.00075169
2021-01-05,SHW,0.00074415
2021-01-05,T66093,0.00074026
2021-01-05,EPD,0.00072273
2021-01-05,DIS,0.00071442
2021-01-05,CI,0.00071067
2021-01-05,BN,0.00068357
2021-01-05,CHTR,0.00067641
2021-01-05,HCA12622,0.00065811
2021-01-05,D,0.00065218
2021-01-05,SYK,0.00064582
2021-01-05,KMI12558,0.00064535
2021-01-05,UBER,0.00064323
2021-01-05,ORAN,0.00062719
2021-01-05,ORCL,0.00062705
2021-01-05,INTU,0.00062623
2021-01-05,STZ,0.00062496
2021-01-05,BKNG,0.00062405
2021-01-05,XEL,0.00059336
2021-01-05,BAC,0.00057509
2021-01-05,MUFG,0.00056571
2021-01-05,EQNR,0.00056086
2021-01-05,RACE,0.00055458
2021-01-05,GM12369,0.0005495
2021-01-05,ISRG,0.00053853
2021-01-05,CNC,0.00051527
